dataset_name,dataset_url,dataset_download_date,dataset_last_updated
June-August 2021 Summer Meal Count - TDA F&N Dashboard | Open Data Portal,https://data.texas.gov/dataset/June-August-2021-Summer-Meal-Count-TDA-F-N-Dashboa/23pb-8jnd,02/26/2023,12/22/2021
CACFP - Meal Count Measure Dataset - 2019-2020 | Open Data Portal,https://data.texas.gov/dataset/CACFP-Meal-Count-Measure-Dataset-2019-2020/22wi-8ijd,02/26/2023,10/21/2021
TJJD – Average Daily Population by Location FY 2011-2022 | Open Data Portal,https://data.texas.gov/See-Category-Tile/TJJD-Average-Daily-Population-by-Location-FY-2011-/25ut-iey2,02/26/2023,10/24/2022
TRANSPORTATION_bicycle_facilities | Open Data | City of Austin Texas,https://data.austintexas.gov/Transportation-and-Mobility/TRANSPORTATION_bicycle_facilities/23hw-a95n,12/07/2023,11/06/2023
Brownfield Site List | Open Data | City of Austin Texas,https://data.austintexas.gov/Utilities-and-City-Services/Brownfield-Site-List/22wq-47zy,10/28/2023,05/17/2023
Municipal Court Caseload Information FY 2022 | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/Municipal-Court-Caseload-Information-FY-2022/26w4-part,12/07/2023,11/02/2023
CT_CTAL_Demo_Race | Open Data | City of Austin Texas,https://data.austintexas.gov/City-Government/CT_CTAL_Demo_Race/249m-xvh7,10/28/2023,04/10/2023
Wetland | Open Data | City of Austin Texas,https://data.austintexas.gov/dataset/Wetland/22a8-x3u6,12/09/2023,11/11/2023
Pharmacy Medical Billing Services (SV4) Detail Information | Open Data Portal,https://data.texas.gov/dataset/Pharmacy-Medical-Billing-Services-SV4-Detail-Infor/28cv-4t5q,12/09/2023,11/10/2023
2022 BPR Figure 11 | Open Data Portal,https://data.texas.gov/dataset/2022-BPR-Figure-11/24f2-9h93,10/28/2023,03/01/2023
Energy Efficiency Annual Energy Savings ( MWH) | Open Data | City of Austin Texas,https://data.austintexas.gov/dataset/Energy-Efficiency-Annual-Energy-Savings-MWH-/28vy-j5vt,10/28/2023,04/10/2023
HE.C.5 - Number and percentage of linear miles of newly constructed sidewalks and urban trails that lie within census tracts with no leisure-time physical activity among adults aged 18 years or older. | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/HE-C-5-Number-and-percentage-of-linear-miles-of-ne/22ei-wafp,11/10/2023,02/14/2023
GUIDE 2017 - R2R | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/GUIDE-2017-R2R/27tg-e4dt,10/28/2023,04/10/2023
TxRC 2017 Monthly Handle | Open Data Portal,https://data.texas.gov/Business-and-Economy/TxRC-2017-Monthly-Handle/29v2-hfmd,02/26/2023,02/24/2022
M.A.7 - Number of AUS passenger seats available for purchase | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/M-A-7-Number-of-AUS-passenger-seats-available-for-/26rp-vy2b,11/10/2023,02/14/2023
Watershed Boundaries | Open Data | City of Austin Texas,https://data.austintexas.gov/Locations-and-Maps/Watershed-Boundaries/2829-xbvw,12/07/2023,11/06/2023
Performance Measure Definition: STEMI Alert Scene Time | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Performance-Measure-Definition-STEMI-Alert-Scene-T/27kr-wy6b,11/10/2023,04/02/2019
Budget Billing | Open Data | City of Austin Texas,https://data.austintexas.gov/Budget-and-Finance/Budget-Billing/2b2e-w4kf,12/09/2023,11/13/2023
HMSDC 2021 Bid Fair Spreadsheet | Open Data Portal,https://data.texas.gov/dataset/HMSDC-2021-Bid-Fair-Spreadsheet/2bk4-b5yq,10/28/2023,09/14/2021
